
        OBJNO                   RA                  DEC           MAGR         SLITPA        TOPDIST        BOTDIST
            J                    D                    D              E              E              E              E
                                                                                                                   
      3128103   3.516758422852E+02   1.437657326460E-01   2.121246E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3114394   3.517180786133E+02   4.002409055829E-02   2.439369E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3107575   3.517026977539E+02  -2.300535328686E-02   2.327250E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3102370   3.517026672363E+02  -8.897425979376E-02   2.349620E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3128000   3.516903381348E+02   1.390742361546E-01   2.380060E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3127998   3.516805114746E+02   1.476427912712E-01   2.311571E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3127966   3.516967773438E+02   1.289266198874E-01   2.410198E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3127916   3.516878662109E+02   1.289723813534E-01   2.220878E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3102143   3.517103881836E+02  -7.726022601128E-02   2.324778E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3120993   3.517073364258E+02   7.675200700760E-02   2.248996E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3114461   3.517051086426E+02   3.053734637797E-02   2.324022E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3121008   3.517120666504E+02   6.275644153357E-02   2.312328E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3114482   3.517157592773E+02   1.327523123473E-02   2.270564E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3114487   3.517159118652E+02   9.947157464921E-03   2.350055E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3120961   3.516989135742E+02   1.035935431719E-01   2.147567E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3114489   3.517261657715E+02   9.222392924130E-03   2.336700E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3120951   3.516985778809E+02   5.853070318699E-02   2.355282E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3127188   3.517106933594E+02   1.282831132412E-01   2.324833E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3121443   3.516891479492E+02   7.766883075237E-02   2.333688E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3114820   3.516950683594E+02   3.077189624310E-02   2.348118E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3121521   3.516922607422E+02   5.635591968894E-02   2.310399E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3114887   3.516829528809E+02   1.065330486745E-02   2.340383E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3127711   3.516916809082E+02   1.390659213066E-01   2.387793E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3114914   3.516971435547E+02   4.019831120968E-02   2.376502E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3127401   3.517048034668E+02   1.331543177366E-01   2.313015E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3127597   3.516994628906E+02   1.131274998188E-01   2.151391E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3127588   3.516977844238E+02   1.182342395186E-01   2.333920E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3127381   3.517041320801E+02   1.280502080917E-01   2.333817E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3120803   3.517106018066E+02   5.738971382380E-02   2.224248E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3115009   3.516901855469E+02   5.035675596446E-03   2.300886E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3127581   3.517107849121E+02   1.230807974935E-01   2.388488E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3127574   3.517095336914E+02   1.288435757160E-01   2.195625E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3127570   3.516989135742E+02   1.330834925175E-01   2.303301E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3120901   3.517026977539E+02   6.211654469371E-02   2.349376E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3120902   3.517201538086E+02   6.098626181483E-02   2.356613E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3127478   3.517029418945E+02   1.300139427185E-01   2.391124E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3120906   3.517153320312E+02   5.853134021163E-02   2.294228E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3127410   3.517013854980E+02   1.187727674842E-01   2.381557E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3114291   3.517062377930E+02   1.739637926221E-02   2.242885E+01   0.000000E+00   3.155276E+00   8.523705E+00
      3114102   3.516994323730E+02   1.927604153752E-02   2.393259E+01   0.000000E+00   2.607457E+00   3.103930E+00
      3114222   3.517139282227E+02   2.084998972714E-02   2.351304E+01   0.000000E+00   2.466688E+00   2.573989E+00
      3114122   3.517078552246E+02   2.235184237361E-02   2.328157E+01   0.000000E+00   4.114394E+00   2.432509E+00
      3114470   3.516981201172E+02   2.493194304407E-02   2.410138E+01   0.000000E+00   2.772020E+00   4.652024E+00
